"filename", "language", "JavaScript", "TypeScript", "TypeScript JSX", "CSS", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\api\tactics\stats\increaseIncorrect\route.ts", "TypeScript", 0, 34, 0, 0, 0, 0, 6, 40
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\api\tactics\stats\increaseTimeTaken\route.ts", "TypeScript", 0, 48, 0, 0, 0, 0, 8, 56
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\api\tactics\update\route.ts", "TypeScript", 0, 37, 0, 0, 0, 0, 8, 45
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\api\tactics\user\route.ts", "TypeScript", 0, 25, 0, 0, 0, 0, 5, 30
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\auth\signin\page.tsx", "TypeScript JSX", 0, 0, 35, 0, 0, 0, 4, 39
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\components\_elements\button.tsx", "TypeScript JSX", 0, 0, 46, 0, 0, 0, 3, 49
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\components\_elements\container.tsx", "TypeScript JSX", 0, 0, 20, 0, 0, 0, 1, 21
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\components\_elements\heading.tsx", "TypeScript JSX", 0, 0, 52, 0, 0, 0, 1, 53
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\components\_elements\styledLink.tsx", "TypeScript JSX", 0, 0, 17, 0, 0, 0, 2, 19
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\components\_layouts\bigText.tsx", "TypeScript JSX", 0, 0, 22, 0, 0, 0, 2, 24
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\components\_layouts\ctaRow.tsx", "TypeScript JSX", 0, 0, 41, 0, 0, 0, 3, 44
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\components\_layouts\hero.tsx", "TypeScript JSX", 0, 0, 58, 0, 0, 0, 3, 61
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\components\_layouts\imageRowFull.tsx", "TypeScript JSX", 0, 0, 47, 0, 0, 0, 3, 50
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\components\_layouts\multiCol.tsx", "TypeScript JSX", 0, 0, 47, 0, 0, 0, 5, 52
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\components\_layouts\pageHeader.tsx", "TypeScript JSX", 0, 0, 36, 0, 0, 0, 3, 39
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\components\_layouts\textWall.tsx", "TypeScript JSX", 0, 0, 24, 0, 0, 0, 3, 27
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\components\admin\BadgeCreator.tsx", "TypeScript JSX", 0, 0, 146, 0, 0, 2, 10, 158
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\components\admin\ExistingBadges.tsx", "TypeScript JSX", 0, 0, 110, 0, 0, 1, 8, 119
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\components\admin\curatedSets\CuratedSetsBrowser.tsx", "TypeScript JSX", 0, 0, 34, 0, 0, 0, 5, 39
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\components\admin\curatedSets\themes.ts", "TypeScript", 0, 328, 0, 0, 0, 0, 2, 330
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\components\contact\ContactForm.tsx", "TypeScript JSX", 0, 0, 167, 0, 0, 1, 13, 181
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\components\contact\ReportIssue.tsx", "TypeScript JSX", 0, 0, 197, 0, 0, 1, 16, 214
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\components\dashboard\AccountForm.tsx", "TypeScript JSX", 0, 0, 228, 0, 0, 0, 12, 240
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\components\dashboard\StreakDisplay.tsx", "TypeScript JSX", 0, 0, 61, 0, 0, 0, 6, 67
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\components\dashboard\ToolGrid.tsx", "TypeScript JSX", 0, 0, 55, 0, 0, 2, 4, 61
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\components\dashboard\XpDisplay.tsx", "TypeScript JSX", 0, 0, 50, 0, 0, 0, 4, 54
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\components\general\NumberIcon.tsx", "TypeScript JSX", 0, 0, 14, 0, 0, 0, 1, 15
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\components\general\PrettyPrintLine.tsx", "TypeScript JSX", 0, 0, 25, 0, 0, 3, 6, 34
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\components\general\Spinner.tsx", "TypeScript JSX", 0, 0, 27, 0, 0, 0, 1, 28
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\components\general\TimeSince.tsx", "TypeScript JSX", 0, 0, 11, 0, 0, 0, 4, 15
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\components\general\XpTracker.tsx", "TypeScript JSX", 0, 0, 55, 0, 0, 3, 5, 63
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\components\template\CookieBanner.tsx", "TypeScript JSX", 0, 0, 99, 0, 0, 0, 7, 106
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\components\template\footer\Footer.tsx", "TypeScript JSX", 0, 0, 128, 0, 0, 0, 3, 131
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\components\template\header\Header.tsx", "TypeScript JSX", 0, 0, 32, 0, 0, 0, 3, 35
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\components\template\header\Nav.tsx", "TypeScript JSX", 0, 0, 93, 0, 0, 0, 5, 98
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\components\template\header\UserButtons.tsx", "TypeScript JSX", 0, 0, 17, 0, 0, 0, 3, 20
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\components\training\courses\CourseTrainer.tsx", "TypeScript JSX", 0, 0, 523, 0, 0, 56, 56, 635
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\components\training\courses\create\CreateCourse.tsx", "TypeScript JSX", 0, 0, 146, 0, 0, 4, 12, 162
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\components\training\courses\create\DetailsForm.tsx", "TypeScript JSX", 0, 0, 84, 0, 0, 0, 7, 91
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\components\training\courses\create\GroupItem.tsx", "TypeScript JSX", 0, 0, 129, 0, 0, 0, 4, 133
